instance,prep,geo-feature,placename,sum,or,label exp1,label exp 2,label exp 3,label exp 4
 any project searching for a shared female identity in,for,1,0,1,1,0,0,0,0
 searching a shared female identity in the work may be misleading,in,1,0,1,1,0,0,0,0
 misleading yet the shared endeavour by women to succeed in their,by,1,0,1,1,0,0,0,0
 shared endeavour women to succeed in their chosen field and on,in,1,0,1,1,0,0,0,0
 succeed their chosen field and on their own terms is important,on,1,0,1,1,0,0,0,0
 four words describing the effect of prophecy  vine s expository,of,0,1,1,1,0,0,0,0
 dictionary gives the following definitions for each one,for,0,1,1,1,0,0,0,0
 may have come off worst in some scuffle over a doe,in,0,0,0,0,0,0,0,0
 come off worst some scuffle over a doe and taken it,over,0,0,0,0,0,0,0,0
 his coat and draped it over harry,over,0,0,0,0,1,1,0,1
  to the fairfax barbecue for sandra s birthday,for,0,1,1,1,0,0,0,0
 it was very foolish of me,of,0,0,0,0,0,0,0,0
 filled with wonder at the sound of,with,0,0,0,0,0,0,0,0
 filled wonder at the sound of the bazouki,at,0,0,0,0,0,0,0,0
 filled wonder the sound of the bazouki as jacques vassal,of,0,0,0,0,0,0,0,0
 wonder the sound the bazouki as jacques vassal commented  also,as,0,0,0,0,0,0,0,0
 also emphasising leonard s appreciation of theodorakis s then emerging art,of,0,0,0,0,0,0,0,0
 he wanders upstage towards the exit,towards,0,0,0,0,2,1,1,0
 oh by the way benjamin killed the,by,1,0,1,1,0,0,0,0
 benjamin killed the nobleman concerned in a duel with swords in,in,1,0,1,1,0,0,0,0
 the nobleman concerned a duel with swords in leicester fields,with,1,0,1,1,0,0,0,0
 nobleman concerned a duel swords in leicester fields,in,1,0,1,1,2,1,1,0
 middle anyone who has dined on crab or lobster will know,on,1,0,1,1,0,0,0,0
 how well the hard carapace of these animals protects their soft,of,1,0,1,1,0,0,0,0
 a smudge of make up rubbed on the,of,0,0,0,0,0,0,0,0
 a smudge make up rubbed on the back of the hand,on,0,0,0,0,1,1,0,1
 make up rubbed the back of the hand a lot of,of,0,0,0,0,1,1,0,1
 back the hand a lot of agonising it s like buying,of,0,0,0,0,0,0,0,0
 a lot agonising it s like buying a hat by trying,like,0,0,0,0,0,0,0,0
 it s buying a hat by trying it on your foot,by,0,0,0,0,0,0,0,0
 buying a hat trying it on your foot,on,0,0,0,0,1,1,0,1
 a tiny child from london she repeated,from,0,1,1,1,2,1,1,0
 ah but sir if we practice a mite of,if,0,0,0,0,0,0,0,0
 sir we practice a mite of deception they wo n t,of,0,0,0,0,0,0,0,0
 and before i go tomorrow we ll,before,1,0,1,1,0,0,0,0
 joint letter to the two of them pointing out how well,of,1,0,1,1,0,0,0,0
 how well we get on without them and urging them not,without,1,0,1,1,0,0,0,0
 point where he would be without money himself to help someone,without,0,0,0,0,0,0,0,0
 was mrs parkin asked dexter while blanche took a packet of,while,0,0,0,0,0,0,0,0
 dexter blanche took a packet of chocolate digestives from her filing,of,0,0,0,0,0,0,0,0
 took a packet chocolate digestives from her filing cabinet and arrayed,from,0,0,0,0,1,1,0,1
 filing cabinet and arrayed them on a plate,on,0,0,0,0,1,1,0,1
 and i hope that stepmother of yours appreciates it too,of,0,0,0,0,0,0,0,0
 and now if we could get back to,if,0,0,0,0,0,0,0,0
 point i believe you were about to explain to me about,about,0,0,0,0,0,0,0,0
 were to explain to me about this proposition of yours,about,0,0,0,0,0,0,0,0
 explain to me this proposition of yours,of,0,0,0,0,0,0,0,0
 skipper landed felt extremely pleased with himself and threw an enormous,with,0,0,0,0,0,0,0,0
 and threw an enormous buck with a twist in it,with,0,0,0,0,0,0,0,0
 an enormous buck a twist in it,in,0,0,0,0,1,1,0,1
 telling me you were concerned for my soul she mocked,for,0,0,0,0,0,0,0,0
 the social worker she demanded of david,of,0,0,0,0,0,0,0,0
 as the full time mother of,As,1,0,1,1,0,0,0,0
 the full time mother of pre school twins i just,of,1,0,1,1,0,0,0,0
 school twins i just thought that i had to put up,that,1,0,1,1,0,0,0,0
 i had to put up with sam s barely concealed fling,with,1,0,1,1,0,0,0,0
 sam s barely concealed fling with a neighbour says tina,with,1,0,1,1,0,0,0,0
 bastard cried bernard belabouring jed with his fists splattering cheap red,with,0,1,1,1,0,0,0,0
 fists splattering cheap red wine over books and walls,over,0,1,1,1,1,1,0,1
 because i d prefer to continue,Because,1,0,1,1,0,0,0,0
 d prefer to continue buying from your company mr burns,from,1,0,1,1,0,0,0,0
 because she still sounded mad at,Because,0,0,0,0,0,0,0,0
 she still sounded mad at me and i thought you,at,0,0,0,0,0,0,0,0
 beth was wrong in what she did i wo,in,0,1,1,1,0,0,0,0
 i wo n t deny that and i do n t,that,0,1,1,1,0,0,0,0
 i do n t know if i can ever forgive her,if,0,1,1,1,0,0,0,0
 bloody good that s brilliant of rupert,of,0,0,0,0,0,0,0,0
 bought with my own money sir,with,0,0,0,0,0,0,0,0
 but after a long deliberation of all,after,0,0,0,0,0,0,0,0
 but a long deliberation of all the circumstances the board,of,0,0,0,0,0,0,0,0
 agreed to sanction the contest on the conditions laid down,on,0,0,0,0,0,0,0,0
 carpenter her father asked with a tinge of bewilderment in,with,0,1,1,1,0,0,0,0
 her father asked a tinge of bewilderment in his voice,of,0,1,1,1,0,0,0,0
 father asked a tinge bewilderment in his voice,in,0,1,1,1,0,0,0,0
 come sit with me she cried to philippa,with,0,0,0,0,1,1,0,1
